Media,Tweet Index,TimeStamp,Compound,Positive,Neutral,Negative
BBC,0,Sun Apr 08 20:51:31 +0000 2018,0.0,0.0,1.0,0.0
BBC,1,Sun Apr 08 20:51:26 +0000 2018,0.0,0.0,1.0,0.0
BBC,2,Sun Apr 08 20:51:15 +0000 2018,0.0,0.0,1.0,0.0
BBC,3,Sun Apr 08 20:51:12 +0000 2018,0.2263,0.115,0.82,0.066
BBC,4,Sun Apr 08 20:51:05 +0000 2018,0.4199,0.134,0.793,0.072
BBC,5,Sun Apr 08 20:51:02 +0000 2018,0.0,0.0,1.0,0.0
BBC,6,Sun Apr 08 20:50:50 +0000 2018,-0.5411,0.0,0.572,0.428
BBC,7,Sun Apr 08 20:50:36 +0000 2018,0.5574,0.184,0.816,0.0
BBC,8,Sun Apr 08 20:50:34 +0000 2018,0.0,0.0,1.0,0.0
BBC,9,Sun Apr 08 20:50:28 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,10,Sun Apr 08 20:50:19 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,11,Sun Apr 08 20:50:16 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,12,Sun Apr 08 20:50:15 +0000 2018,0.34,0.13,0.87,0.0
BBC,13,Sun Apr 08 20:49:46 +0000 2018,0.0,0.0,1.0,0.0
BBC,14,Sun Apr 08 20:49:46 +0000 2018,-0.6249,0.0,0.849,0.151
BBC,15,Sun Apr 08 20:49:43 +0000 2018,-0.4588,0.0,0.826,0.174
BBC,16,Sun Apr 08 20:49:23 +0000 2018,0.3182,0.103,0.897,0.0
BBC,17,Sun Apr 08 20:48:49 +0000 2018,0.0,0.0,1.0,0.0
BBC,18,Sun Apr 08 20:48:45 +0000 2018,0.5949,0.491,0.509,0.0
BBC,19,Sun Apr 08 20:48:44 +0000 2018,0.0,0.0,1.0,0.0
BBC,20,Sun Apr 08 20:48:41 +0000 2018,0.0,0.0,1.0,0.0
BBC,21,Sun Apr 08 20:48:40 +0000 2018,0.0,0.0,1.0,0.0
BBC,22,Sun Apr 08 20:48:38 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,23,Sun Apr 08 20:48:36 +0000 2018,0.0,0.0,1.0,0.0
BBC,24,Sun Apr 08 20:48:35 +0000 2018,0.0,0.0,1.0,0.0
BBC,25,Sun Apr 08 20:48:28 +0000 2018,0.0,0.0,1.0,0.0
BBC,26,Sun Apr 08 20:48:24 +0000 2018,0.0,0.0,1.0,0.0
BBC,27,Sun Apr 08 20:48:19 +0000 2018,0.0,0.0,1.0,0.0
BBC,28,Sun Apr 08 20:48:04 +0000 2018,-0.5574,0.0,0.847,0.153
BBC,29,Sun Apr 08 20:47:59 +0000 2018,0.0,0.0,1.0,0.0
BBC,30,Sun Apr 08 20:47:58 +0000 2018,0.0,0.0,1.0,0.0
BBC,31,Sun Apr 08 20:47:58 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,32,Sun Apr 08 20:47:51 +0000 2018,-0.8658,0.0,0.637,0.363
BBC,33,Sun Apr 08 20:47:48 +0000 2018,0.34,0.103,0.897,0.0
BBC,34,Sun Apr 08 20:47:46 +0000 2018,0.0,0.0,1.0,0.0
BBC,35,Sun Apr 08 20:47:37 +0000 2018,-0.7184,0.0,0.778,0.222
BBC,36,Sun Apr 08 20:47:28 +0000 2018,0.743,0.249,0.751,0.0
BBC,37,Sun Apr 08 20:47:27 +0000 2018,0.0,0.0,1.0,0.0
BBC,38,Sun Apr 08 20:47:24 +0000 2018,0.0,0.0,1.0,0.0
BBC,39,Sun Apr 08 20:47:20 +0000 2018,0.0,0.0,1.0,0.0
BBC,40,Sun Apr 08 20:47:10 +0000 2018,0.3182,0.161,0.839,0.0
BBC,41,Sun Apr 08 20:47:02 +0000 2018,0.0,0.0,1.0,0.0
BBC,42,Sun Apr 08 20:47:00 +0000 2018,-0.8658,0.0,0.607,0.393
BBC,43,Sun Apr 08 20:47:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,44,Sun Apr 08 20:46:59 +0000 2018,0.0,0.0,1.0,0.0
BBC,45,Sun Apr 08 20:46:53 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,46,Sun Apr 08 20:46:51 +0000 2018,0.0,0.0,1.0,0.0
BBC,47,Sun Apr 08 20:46:43 +0000 2018,0.0,0.0,1.0,0.0
BBC,48,Sun Apr 08 20:46:34 +0000 2018,-0.6542,0.0,0.716,0.284
BBC,49,Sun Apr 08 20:46:33 +0000 2018,-0.2755,0.0,0.86,0.14
BBC,50,Sun Apr 08 20:46:30 +0000 2018,0.0,0.0,1.0,0.0
BBC,51,Sun Apr 08 20:46:27 +0000 2018,0.0,0.0,1.0,0.0
BBC,52,Sun Apr 08 20:46:21 +0000 2018,-0.0516,0.0,0.943,0.057
BBC,53,Sun Apr 08 20:46:02 +0000 2018,0.7841,0.301,0.699,0.0
BBC,54,Sun Apr 08 20:45:44 +0000 2018,-0.4215,0.0,0.877,0.123
BBC,55,Sun Apr 08 20:45:37 +0000 2018,0.0,0.0,1.0,0.0
BBC,56,Sun Apr 08 20:45:27 +0000 2018,0.5106,0.223,0.777,0.0
BBC,57,Sun Apr 08 20:45:22 +0000 2018,0.0,0.0,1.0,0.0
BBC,58,Sun Apr 08 20:45:19 +0000 2018,0.0,0.0,1.0,0.0
BBC,59,Sun Apr 08 20:45:13 +0000 2018,-0.5563,0.0,0.865,0.135
BBC,60,Sun Apr 08 20:45:06 +0000 2018,0.0,0.0,1.0,0.0
BBC,61,Sun Apr 08 20:45:04 +0000 2018,0.0,0.0,1.0,0.0
BBC,62,Sun Apr 08 20:44:53 +0000 2018,0.3182,0.126,0.874,0.0
BBC,63,Sun Apr 08 20:44:48 +0000 2018,-0.5849,0.0,0.78,0.22
BBC,64,Sun Apr 08 20:44:48 +0000 2018,0.0,0.0,1.0,0.0
